nohup: ignoring input
👁️  Worker2 Watchdog Started
============================================================
Check interval: 30s
Idle threshold: 120s
============================================================
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
❌ Worker2 not running!
🔄 Restarting worker2...
✅ Worker2 restarted
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 371 ideas, queue=20
✓ 10 workers active, 368 ideas, queue=20
✓ 10 workers active, 367 ideas, queue=20
✓ 10 workers active, 366 ideas, queue=20
✓ 10 workers active, 366 ideas, queue=20
✓ 10 workers active, 366 ideas, queue=20
✓ 10 workers active, 366 ideas, queue=20
✓ 10 workers active, 366 ideas, queue=20
✓ 10 workers active, 366 ideas, queue=20
✓ 10 workers active, 366 ideas, queue=20
✓ 10 workers active, 366 ideas, queue=20
✓ 10 workers active, 366 ideas, queue=20
✓ 10 workers active, 366 ideas, queue=20
✓ 10 workers active, 366 ideas, queue=20
✓ 10 workers active, 360 ideas, queue=20
✓ 10 workers active, 359 ideas, queue=20
✓ 10 workers active, 358 ideas, queue=20
✓ 10 workers active, 358 ideas, queue=20
✓ 10 workers active, 358 ideas, queue=20
✓ 10 workers active, 358 ideas, queue=20
✓ 10 workers active, 358 ideas, queue=20
✓ 10 workers active, 354 ideas, queue=20
✓ 10 workers active, 351 ideas, queue=20
✓ 10 workers active, 350 ideas, queue=20
✓ 10 workers active, 350 ideas, queue=20
✓ 10 workers active, 350 ideas, queue=20
✓ 10 workers active, 350 ideas, queue=20
✓ 10 workers active, 350 ideas, queue=20
✓ 10 workers active, 350 ideas, queue=20
✓ 10 workers active, 347 ideas, queue=20
✓ 10 workers active, 347 ideas, queue=20
✓ 10 workers active, 347 ideas, queue=20
✓ 10 workers active, 347 ideas, queue=20
✓ 10 workers active, 347 ideas, queue=20
✓ 10 workers active, 347 ideas, queue=20
✓ 10 workers active, 347 ideas, queue=20
✓ 10 workers active, 347 ideas, queue=20
✓ 10 workers active, 347 ideas, queue=20
✓ 10 workers active, 347 ideas, queue=20
✓ 10 workers active, 347 ideas, queue=20
✓ 10 workers active, 347 ideas, queue=20
✓ 10 workers active, 346 ideas, queue=20
✓ 10 workers active, 346 ideas, queue=20
✓ 10 workers active, 346 ideas, queue=20
✓ 10 workers active, 346 ideas, queue=20
✓ 10 workers active, 342 ideas, queue=20
✓ 10 workers active, 345 ideas, queue=20
✓ 10 workers active, 346 ideas, queue=20
✓ 10 workers active, 342 ideas, queue=20
✓ 10 workers active, 345 ideas, queue=20
✓ 10 workers active, 345 ideas, queue=20
✓ 10 workers active, 345 ideas, queue=20
✓ 10 workers active, 345 ideas, queue=20
✓ 10 workers active, 345 ideas, queue=20
✓ 10 workers active, 345 ideas, queue=20
✓ 10 workers active, 345 ideas, queue=20
✓ 10 workers active, 345 ideas, queue=20
✓ 10 workers active, 345 ideas, queue=20
✓ 10 workers active, 345 ideas, queue=20
✓ 10 workers active, 338 ideas, queue=20
✓ 10 workers active, 338 ideas, queue=20
✓ 10 workers active, 338 ideas, queue=20
✓ 10 workers active, 337 ideas, queue=20
✓ 10 workers active, 337 ideas, queue=20
✓ 10 workers active, 337 ideas, queue=20
✓ 10 workers active, 337 ideas, queue=20
✓ 10 workers active, 331 ideas, queue=20
✓ 10 workers active, 330 ideas, queue=20
✓ 10 workers active, 330 ideas, queue=20
✓ 10 workers active, 330 ideas, queue=20
✓ 10 workers active, 330 ideas, queue=20
✓ 10 workers active, 330 ideas, queue=20
✓ 10 workers active, 330 ideas, queue=20
✓ 10 workers active, 328 ideas, queue=20
✓ 10 workers active, 327 ideas, queue=20
✓ 10 workers active, 327 ideas, queue=20
✓ 10 workers active, 327 ideas, queue=20
✓ 10 workers active, 322 ideas, queue=20
✓ 10 workers active, 322 ideas, queue=20
✓ 10 workers active, 322 ideas, queue=20
✓ 10 workers active, 322 ideas, queue=20
✓ 10 workers active, 320 ideas, queue=20
✓ 10 workers active, 319 ideas, queue=20
✓ 10 workers active, 319 ideas, queue=20
✓ 10 workers active, 319 ideas, queue=20
✓ 10 workers active, 319 ideas, queue=20
✓ 10 workers active, 319 ideas, queue=20
✓ 10 workers active, 314 ideas, queue=20
✓ 10 workers active, 314 ideas, queue=20
✓ 10 workers active, 311 ideas, queue=20
✓ 10 workers active, 311 ideas, queue=20
✓ 10 workers active, 311 ideas, queue=20
✓ 10 workers active, 311 ideas, queue=20
✓ 10 workers active, 311 ideas, queue=20
✓ 10 workers active, 311 ideas, queue=20
✓ 10 workers active, 311 ideas, queue=20
✓ 10 workers active, 307 ideas, queue=20
✓ 10 workers active, 307 ideas, queue=20
✓ 10 workers active, 307 ideas, queue=20
✓ 10 workers active, 307 ideas, queue=20
✓ 10 workers active, 307 ideas, queue=20
✓ 10 workers active, 307 ideas, queue=20
✓ 10 workers active, 307 ideas, queue=20
✓ 10 workers active, 307 ideas, queue=20
✓ 10 workers active, 307 ideas, queue=20
✓ 10 workers active, 307 ideas, queue=20
✓ 10 workers active, 303 ideas, queue=20
✓ 10 workers active, 302 ideas, queue=19
✓ 10 workers active, 299 ideas, queue=20
✓ 10 workers active, 299 ideas, queue=20
✓ 10 workers active, 299 ideas, queue=20
✓ 10 workers active, 299 ideas, queue=20
✓ 10 workers active, 299 ideas, queue=20
⚠️  All workers idle with 297 ideas queued (30s idle)
⚠️  All workers idle with 292 ideas queued (60s idle)
⚠️  All workers idle with 295 ideas queued (90s idle)
⚠️  All workers idle with 295 ideas queued (120s idle)
🚨 Workers stuck idle for 120s - restarting!
🔄 Restarting worker2...
✅ Worker2 restarted
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 295 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
✓ 10 workers active, 291 ideas, queue=20
